,Models,ModelName,Train,hex_Ef,spl_Ef,tet_Ef,vac_Ef
255,SNAP,14-2,Int4,-0.3954120180464551,-0.2538103502998685,0.1254006506796286,1.0247291591253032
256,SNAP,15-18,Int4,-0.2644275121289171,-0.117274138012475,0.0952854098950795,0.9861476663861196
257,SNAP,21-26,Int4,1.1402724617482238,0.040554958564131,0.5504408210178839,-0.2828993473285225
258,SNAP,15-20,Int4,-0.2415531838432542,-0.0893389727829674,0.1103755574674213,0.9714978459711116
259,SNAP,31-17,Int4,1.2578125116042942,1.0961617401915993,1.3792247186494715,-1.4745550197094952
260,SNAP,19-4,Int4,0.1619325050891428,-0.1093447952105956,-0.3242220834089231,0.8982975070563739
261,SNAP,31-6,Int4,1.2579365188852518,1.0964215928832794,1.379350881921892,-1.4776009685454743
262,SNAP,51-23,Int4,0.8763428334093714,0.6947596200418769,1.2621102160496491,-0.1613897349101257
263,SNAP,20-14,Int4,0.1721190470222022,-0.0863068901620149,-0.2370906452884502,0.8575480310721103
264,SNAP,20-33,Int4,0.207982775103327,-0.0205940476864153,-0.18710883729766,0.8185278884600097
265,SNAP,20-29,Int4,0.1694774862696997,-0.0912641802511453,-0.2407967373446962,0.8602360451889769
266,SNAP,19-2,Int4,0.1623747277766036,-0.1085036849492368,-0.3235783586873095,0.8978623784837745
267,SNAP,14-4,Int4,-0.3959177411527034,-0.2544231691470313,0.1251183551273987,1.0250016719130437
268,SNAP,3-31,Int4,-0.1597962899752766,0.3332723921620598,0.6058612991769218,0.8814176589837012
269,SNAP,26-30,Int4,1.136531846852971,0.2631769819316654,0.8330000595265374,-0.9968982573393768
270,SNAP,14-14,Int4,-0.3904837995780586,-0.2478482417967074,0.1281544660151213,1.0220516779941031
271,SNAP,13-13,Int4,-0.341578629146932,-0.2382832910989466,-0.1164600692650458,0.9920975641182906
272,SNAP,14-22,Int4,-0.3931930992145521,-0.251123719555573,0.1266399066112951,1.0235285794433209
273,SNAP,19-10,Int4,0.1621293618519741,-0.1089703139532749,-0.3239355114294612,0.8981038799202159
